,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
494,"COLUMBUS MURATA, DIETHELL",FUERZA POPULAR,LIMA,5 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010105-2013-0006790000,2015-08-05,ARCHIVO DEFINITIVO,CONTRA LOS DERECHOS AL SUFRAGIO (FRAUDE ELECTORAL)
495,"BARTOLO ROMERO, MARÍA ISABEL",UPP,ANCASH,FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARI,01306094502-2014-0003570000,2015-08-05,CON ARCHIVO (CALIFICA),DELITOS CONTRA EL DERECHO AL SUFRAGIO
496,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,12 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010123-2010-0002120001,2015-07-30,CON DICTAMEN,VIOLACION DE DOMICILIO (ALLANAMIENTO ILEGAL)
497,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,6 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014506-2015-0006260000,2015-07-22,CON ARCHIVO (CALIFICA),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
498,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2015-0005190000,2015-07-16,CON ARCHIVO (PRELIMINAR),CONTRA EL PATRIMONIO
499,CHAVARRIA VILCATOMA ROBERTO CARLOS,UPP,JUNÍN,2 FISCALIA PROVINCIAL PREVENCION DEL DELITO,00507010952-2015-0008170000,2015-07-14,ARCHIVADO,CONTRA LA TRANQUILIDAD PUBLICA
500,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306015500-2015-0002280000,2015-07-10,CON ARCHIVO (CALIFICA),CORRUPCION DE FUNCIONARIOS (CORRUPCION)
501,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DE MADRE DE DIOS,03606015201-2015-0000370000,2015-07-01,CON INVESTIGACION PRELIMINAR,DELITOS AMBIENTALES
502,"BARRIONUEVO ROMERO, BETTO",SOMOS PERÚ,ANCASH,3 FISCALIA SUPERIOR PENAL DE ANCASH  RES. 865- 213,01305014506-2015-0001190000,2015-06-30,IMPUGNACION RESUELTA - FISCAL SUPERIOR,CONTRA LOS DERECHOS AL SUFRAGIO (SOBORNO ELECTORAL)
503,"VÁSQUEZ TAN, GRIMALDO",SOMOS PERÚ,AMAZONAS,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN MATERIA AMBIENTAL- CHACHAPOYAS,01206015200-2013-0001850001,2015-06-22,CON SOBRESEIMIENTO,CONTAMINACION DEL AMBIENTE
504,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN MATERIA AMBIENTAL,00506010170-2015-0000260000,2015-06-19,DERIVADO,CONTAMINACION DEL AMBIENTE
505,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2015-0000430000,2015-06-18,CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS
506,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE PIURA,02606054502-2012-0007140000,2015-06-17,FORMALIZA INVESTIGACION PREPARATORIA,CONCUSION (COLUSION ILEGAL)
507,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2015-0019690000,2015-06-16,CON ARCHIVO (CALIFICA),ABUSO DE AUTORIDAD
508,"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",MORADO,PIURA,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PIURA,02606064503-2014-0013310000,2015-06-12,CON ARCHIVO (PRELIMINAR),HURTO AGRAVADO (CASA-HABITADA)
509,"PALOMINO SAAVEDRA, ANGÉLICA MARÍA",MORADO,PIURA,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PIURA,02606064503-2011-0016960000,2015-06-12,CON SOBRESEIMIENTO,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
510,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,3 FISCALIA SUPERIOR EN DELITOS DE TERRORISMO,00505012803-2014-0000240000,2015-06-11,CON DICTAMEN,HOMICIDIO CALIFICADO (CRUELDAD)
511,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA ,03106024502-2015-0002310000,2015-06-10,CON ARCHIVO (CALIFICA),ABUSO DE AUTORIDAD (NOMBRAMIENTOS ILEGALESXFUNCPUB)
512,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2015-0021110000,2015-06-05,CON ARCHIVO (PRELIMINAR),"USURPACION DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCIONES)"
513,"RIVERA GUERRA, WALTER JESÚS",ACCIÓN POPULAR,LIMA,3 FISCALIA PROVINCIAL PENAL DE SANTA ANITA,03406010103-2014-0014160000,2015-06-02,ARCHIVO DEFINITIVO,COACCION
514,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA SUPERIOR PENAL DE APELACIONES DE LAMBAYEQUE,02406074502-2014-0021090001,2015-06-02,CONSULTA RESUELTA,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
515,"LIZANA SANTOS, MÁRTIRES",FUERZA POPULAR,PIURA,2 FISCALIA PROVINCIAL MIXTA CORPORATIVA DE HUANCABAMBA,02606034502-2014-0000030000,2015-05-28,CON SOBRESEIMIENTO,CONTRA LA FE PUBLICA (FALSEDAD GENERICA)
516,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306015500-2015-0002530000,2015-05-25,CON INVESTIGACION PRELIMINAR,CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
517,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,2 FISCALIA SUPERIOR PENAL DE SANTA ,03106014501-2015-0001270001,2015-05-21,CONSULTA RESUELTA,ABUSO DE AUTORIDAD (NOMBRAMIENTOS ILEGALESXFUNCPUB)
518,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2015-0000230000,2015-05-21,CON ARCHIVO (PRELIMINAR),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
519,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CUTERVO,02406024501-2014-0003190000,2015-05-21,CON SOBRESEIMIENTO,ABUSO DE AUTORIDAD
520,"GARCÍA OVIEDO, PAUL GABRIEL",ACCIÓN POPULAR,CALLAO,42 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010142-2015-0000520000,2015-05-18,ARCHIVO DEFINITIVO,APROPIACION ILICITA(BIENMUEBSUMDINER)
521,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA PROVINCIAL PENAL CORPORATIVA DE CARAVELI,01506054500-2014-0001910000,2015-05-15,CON ARCHIVO (PRELIMINAR),DAÑO AGRAVADO (VIACOMUNDIQUESCANALES)
522,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA SUPERIOR PENAL DE APELACIONES DE LAMBAYEQUE,02406074501-2013-0022380001,2015-05-15,APELACION RESUELTA (EXPEDIENTE),ABUSO DE AUTORIDAD
523,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS- CAJAMARCA,01706045500-2015-0001050000,2015-05-13,DERIVADO (CALIFICA),APROPIACION ILICITA(BIENMUEBSUMDINER)
524,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO LIMA-NORTE,00606020606-2009-0002140000,2015-05-11,ARCHIVO DEFINITIVO,DELITOS AMBIENTALES
525,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,TACNA,FISCALIA PROVINCIAL PENAL CORPORATIVA DE TACNA,02906014500-2014-0050670000,2015-05-07,CON ARCHIVO (PRELIMINAR),LESIONES (CULPOSAS)
526,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,12 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010123-2010-0002120000,2015-05-05,CON DICTAMEN,VIOLACION DE DOMICILIO (ALLANAMIENTO ILEGAL)
527,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001830000,2015-05-04,CON ARCHIVO (CALIFICA),HURTO AGRAVADO (EN LA NOCHE)
528,"COLUMBUS MURATA, DIETHELL",FUERZA POPULAR,LIMA,26 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010126-2014-0002120000,2015-04-30,ARCHIVO DEFINITIVO,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
529,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO DE LORETO ,02506014901-2015-0000060000,2015-04-20,CON ARCHIVO DEFINITIVO (INV. PREVEN.),ABUSO DE AUTORIDAD
530,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO LIMA-NORTE,00606020606-2009-0001940000,2015-04-17,CON DICTAMEN,DELITOS AMBIENTALES
531,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO DE LORETO ,02506014901-2015-0000170000,2015-04-09,CON ARCHIVO DEFINITIVO (INV. PREVEN.),ABUSO DE AUTORIDAD
532,"AYASTA DE DÍAZ, RITA ELENA",FUERZA POPULAR,LAMBAYEQUE,FISCALIA PROVINCIAL MIXTA COORPORATIVA LA VICTORIA,02406094500-2015-0004290000,2015-04-07,CON ARCHIVO (CALIFICA),PECULADO (APROPOUTILIZACDECAUDALES)
533,"COLUMBUS MURATA, DIETHELL",FUERZA POPULAR,LIMA,15 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010115-2014-0006500000,2015-04-06,ARCHIVO DEFINITIVO,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
534,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA SUPERIOR PENAL DE APELACIONES DE LAMBAYEQUE,02406074502-2014-0018170001,2015-03-31,CONSULTA RESUELTA,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
535,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001860000,2015-03-18,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
536,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001870000,2015-03-18,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
537,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001880000,2015-03-18,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
538,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001890000,2015-03-18,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
539,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2015-0001850000,2015-03-18,CON INVESTIGACION PRELIMINAR,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
540,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,5 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010105-2014-0005460000,2015-03-03,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
541,"LAZO VILLÓN, LESLYE CAROL",ACCIÓN POPULAR,LIMA,2 FISCALIA PROVINCIAL PENAL DE SAN JUAN MIRAFLORES,00506010167-2013-0005200000,2015-02-26,ARCHIVO DEFINITIVO,ESTAFA
542,"LIZÁRRAGA HOUGHTON, CAROLINA",MORADO,LIMA,ÁREA ESPECIALIZADA DE LA FISCALIA DE LA NACIÓN EN DENUNCIAS CONTRA MAGISTRADOS,00519010100-2013-0001660000,2015-02-24,RESOLUCION FINAL DE FN,PREVARICATO
543,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CUTERVO,02406024501-2014-0005050000,2015-02-24,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
544,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606054502-2013-0006670000,2015-02-18,CON RESERVA PROVISIONAL (PRELIMINAR),CONTRA LOS DERECHOS DE AUTOR Y COMPOSITOR (REPRCOMERCIALILICITA DE OBRA)
545,"TITO ORTEGA, ERWIN",FUERZA POPULAR,JUNÍN,13 FISCALIA PROVINCIAL PENAL DEL CALLAO,N° DENUNCIA: 88-2015,2015-02-16,DETENCION,FALSIFIACION DOCUMENTARIA
546,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03606014502-2015-0000720001,2015-01-30,RESUELVE EXCLUSION FISCAL,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (OCULTVERDADERASITUACION)
547,"LIZANA SANTOS, MÁRTIRES",FUERZA POPULAR,PIURA,2 FISCALIA PROVINCIAL MIXTA CORPORATIVA DE HUANCABAMBA,02606034502-2014-0001860000,2015-01-22,CON ARCHIVO (PRELIMINAR),CONTRA LA FE PUBLICA (FALSA CERTIFICACION MEDICA)
548,"QUISPE SUÁREZ, MARIO JAVIER",APP,PIURA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PAITA,02606054502-2013-0003500000,2015-01-22,CON SOBRESEIMIENTO,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
549,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA ESPECIALIZADA EN MATERIA AMBIENTAL DE MADRE DE DIOS,03606015201-2015-0000170000,2015-01-15,CON INVESTIGACION PRELIMINAR,DELITOS AMBIENTALES
550,"PINEDO ACHACA, LILIANA ANGÉLICA",FUERZA POPULAR,LIMA PROVINCIAS,1 FISCALIA SUPERIOR PENAL DE CAÑETE,01106010610-2009-0001200002,2015-01-14,CON DICTAMEN,ROBO AGRAVADO (DOS O MAS PERSONAS)
551,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2015-0000050001,2015-01-13,CONSULTA PENDIENTE,USURPACION (DESTRUCCIONALTERACLIMITES)
552,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2015-0000060001,2015-01-13,CONSULTA PENDIENTE,ROBO (SIMPLE)
553,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,TACNA,FISCALIA PROVINCIAL PENAL CORPORATIVA DE TACNA,02906014500-2014-0044260000,2015-01-12,CON ARCHIVO (PRELIMINAR),TERRORISMO (APOLOGIA)
554,"SIMEÓN HURTADO, LUIS CARLOS",ACCIÓN POPULAR,PASCO,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PASCO ,03806014503-2014-0001470000,2015-01-09,CON SOBRESEIMIENTO,COACCION
555,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CUTERVO,02406024501-2014-0002320000,2015-01-09,CON ARCHIVO (PRELIMINAR),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
556,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2014-0001400000,2014-12-14,CONSULTA RESUELTA,USURPACION (DESTRUCCIONALTERACLIMITES)
557,"NÚÑEZ SALAS, JOSÉ ANTONIO",MORADO,AREQUIPA,FISCALIA SUPERIOR MIXTA DE CAMANA,01505030601-2014-0003620000,2014-12-02,IMPUGNACION RESUELTA - FISCAL SUPERIOR,USURPACION (DESTRUCCIONALTERACLIMITES)
558,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2014-0015500000,2014-12-01,CON ARCHIVO (CALIFICA),ESTAFA
559,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074503-2014-0029700000,2014-11-18,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD (NOMBRAMIENTOS ILEGALESXFUNCPUB)
560,"PANTOJA CALVO, RUBEN",UPP,CUSCO,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DEL CUSCO,01806114501-2014-0011580000,2014-11-14,CON ARCHIVO (CALIFICA),ABUSO DE AUTORIDAD
561,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,TACNA,FISCALIA PROVINCIAL PREVENCION DELITO DE TACNA,02907010900-2014-0015190000,2014-10-24,CON ARCHIVO DEFINITIVO (INV. PREVEN.),CONTRA LA VIDA/EL CUERPO Y LA SALUD
562,"HIDALGO ZAMALLOA, ALEXANDER",APP,CUSCO,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE LA CONVENCIÓN,01806104502-2013-0013900000,2014-10-22,CON ACUSACION,ESTAFA (ESTELIONATO)
563,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2014-0000110000,2014-10-17,CON ARCHIVO (PRELIMINAR),DELITO DE RETARDO DE JUSTICIA (OMISION DE EJERCACCION PENAL)
564,"COLUMBUS MURATA, DIETHELL",FUERZA POPULAR,LIMA,7 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010107-2013-0006740000,2014-10-14,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
565,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN MATERIA AMBIENTAL,00506010170-2014-0003100000,2014-10-09,DERIVADO,CONTAMINACION DEL AMBIENTE
566,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,2 FISCALIA SUPERIOR EN LO PENAL DE LIMA,00505010102-2014-0004310001,2014-10-06,CON DICTAMEN,APROPIACION ILICITA(BIENMUEBSUMDINER)
567,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2014-0001350001,2014-09-29,CONSULTA RESUELTA,COACCION
568,"AYASTA DE DÍAZ, RITA ELENA",FUERZA POPULAR,LAMBAYEQUE,FISCALIA PROVINCIAL MIXTA COORPORATIVA LA VICTORIA,02406094500-2013-0027470000,2014-09-24,CON ARCHIVO (PRELIMINAR),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
569,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2014-0001260001,2014-09-19,CONSULTA RESUELTA,ABUSO DE AUTORIDAD
570,"GONZALES TUANAMA, CÉSAR",SOMOS PERÚ,UCAYALI,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO DE CORONEL PORTILLO,03006014901-2014-0002770000,2014-09-17,CON ARCHIVO DEFINITIVO (INV. PREVEN.),FALSA DENUNCIA
571,"HUAMÁN CHAMPI, JUAN DE DIOS",FREPAP,CUSCO,2 FISCALIA PROVINCIAL PENAL DE WANCHAQ,01806174502-2013-0004650000,2014-09-17,CON SOBRESEIMIENTO (JUZGAMIENTO),DELITO DE PELIGRO COMUN (IMPRUDENCCONDUCCIONVEHICULAR)
572,"PUÑO LECARNAQUE, NAPOLEÓN",APP,TUMBES,2 FISCALIA SUPERIOR MIXTA TRANSITORIA DE LIQUIDACION DE TUMBES,03506090601-2007-0001040000,2014-09-01,CON DICTAMEN,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
573,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2014-0019480000,2014-08-28,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
574,"CHEHADE MOYA, OMAR KARIM",APP,LIMA,37 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010137-2014-0000390000,2014-08-28,ARCHIVO DEFINITIVO,DELITOS CONTRA LA FE PUBLICA
575,"CHAGUA PAYANO, POSEMOSCROWTE IRRHOSCOPT",UPP,HUANCAVELICA,38 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506012802-2005-0000050066,2014-08-22,CON DICTAMEN,HOMICIDIO
576,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2013-0003030000,2014-08-19,CON ARCHIVO (CALIFICA),DELITO CONTRA LOS BIENES CULTURALES (DEPREDYACIMIENTOSARQUEOLOGICO)
577,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA SUPERIOR PENAL DE MADRE DE DIOS,03605010101-2014-0000970001,2014-08-14,CONSULTA RESUELTA,COACCION
578,"GONZALES TUANAMA, CÉSAR",SOMOS PERÚ,UCAYALI,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CORONEL PORTILLO,03006014503-2013-0003970000,2014-08-01,CON SENTENCIA,OMISION DE ASISTENCIA FAMILIAR (INCUMPLIMOBLIGALIMENTARIA)
579,"GONZALES TUANAMA, CÉSAR",SOMOS PERÚ,UCAYALI,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CORONEL PORTILLO,03006014504-2012-0001360001,2014-07-25,CON ARCHIVO (PRELIMINAR),"USURPACION DE AUTORIDAD, TITULOS Y HONORES (EJERCICIO ILEGAL DE PROFESION)"
580,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,40 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010140-2014-0001630000,2014-07-22,ARCHIVO DEFINITIVO,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA)
581,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2013-0022380000,2014-07-22,CON SOBRESEIMIENTO,ABUSO DE AUTORIDAD
582,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2014-0021100000,2014-07-18,EN CALIFICACION (CALIFICA),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
583,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,55 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010157-2012-0003950000,2014-07-14,CON DICTAMEN,ESTAFA
584,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO LIMA-NORTE,00606020606-2014-0008290000,2014-07-11,INVESTIGACION,DELITOS AMBIENTALES
585,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074501-2012-0027550000,2014-07-08,CON ARCHIVO (PRELIMINAR),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
586,"TITO ORTEGA, ERWIN",FUERZA POPULAR,JUNÍN,FISCALIA PROVINCIAL MIXTA DE TAYACAJA,02206060901-2014-0002880000,2014-07-01,ARCHIVO DEFINITIVO,TRATA DE PERSONAS(LEY 28950)
587,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,1 FISCALIA PROVINCIAL MIXTA DE PUENTE PIEDRA,00606020613-2011-0005680000,2014-06-17,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
588,"NÚÑEZ SALAS, JOSÉ ANTONIO",MORADO,AREQUIPA,FISCALIA PROVINCIAL PENAL CORPORATIVA DE PEDREGAL,01506024502-2014-0003400000,2014-06-13,CON ARCHIVO (PRELIMINAR),USURPACION
589,"ESPINOZA ROSALES, RENNÁN SAMUEL",NO AGRUPADO,LIMA,FISCALIA SUPERIOR PENAL TRANSITORIA DE LIMA NORTE,00606020615-2014-0001260000,2014-06-05,CON DICTAMEN,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOBYRESISTAORDENOFICIAL)
590,"ARAPA ROQUE, JESÚS ORLANDO",ACCIÓN POPULAR,PUNO,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE PUNO,02706014502-2014-0004800000,2014-05-29,CON ARCHIVO (PRELIMINAR),ATENTADOS CONTRA LA PATRIA POTESTAD (SUSTRACCION O RETENCION DE MENOR)
591,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CHICLAYO,02406074502-2014-0013160000,2014-05-21,CON ARCHIVO (PRELIMINAR),DELITO CONTRA LA ADMINISTRACION PUBLICA
592,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306014502-2013-0014990001,2014-05-08,CON ARCHIVO (PRELIMINAR),APROPIACION ILICITA(BIENMUEBSUMDINER)
